Year,CC,Countries,Independence,HardWork,Unselfishness,Religious,Imagination,Respect,Saving,Determination,Obedience,fillKey
1998,ARG,Argentina,458,599,177,374,278,794,172,307,341,isThere
1998,AUS,Australia,1084,735,814,438,540,1653,387,745,598,isThere
1998,ARM,Armenia,640,1671,612,247,314,969,764,1145,359,isThere
1998,BRA,Brazil,,,,,,,,,,isThere
1998,CHN,China,752,1090,423,50,332,645,933,544,439,isThere
1998,COL,Colombia,1630,1082,2250,2548,1136,4117,1513,590,2570,isThere
1998,CYP,Cyprus,,,,,,,,,,isThere
1998,EST,Estonia,549,889,172,51,88,609,310,500,276,isThere
1998,DEU,Germany,,,,,,,,,,isThere
1998,GHA,Ghana,,,,,,,,,,isThere
1998,IND,India,763,1461,460,735,220,1052,854,588,1426,isThere
1998,JPN,Japan,637,257,398,61,273,614,459,648,66,isThere
1998,JOR,Jordan,,,,,,,,,,isThere
1998,KOR,South Korea,746,777,133,207,98,585,828,445,180,isThere
1998,MEX,Mexico,601,500,578,658,418,865,697,600,753,isThere
1998,MAR,Morocco,,,,,,,,,,isThere
1998,NLD,Netherlands,,,,,,,,,,isThere
1998,NZL,New Zealand,645,446,393,189,334,936,302,472,263,isThere
1998,NER,Nigeria,403,1653,293,1438,121,1267,195,777,1425,isThere
1998,PER,Peru,252,759,189,625,225,763,231,293,607,isThere
1998,POL,Poland,371,184,160,,127,940,655,,561,isThere
1998,RUS,Russia,567,1850,435,192,121,1417,1121,844,694,isThere
1998,ZAF,South Africa,917,1717,657,1794,311,2055,843,873,1464,isThere
1998,ZWE,Zimbabwe,,,,,,,,,,isThere
1998,ESP,Spain,300,779,173,263,263,915,231,257,530,isThere
1998,SWE,Sweden,612,67,239,48,395,912,425,319,160,isThere
1998,TUR,Turkey,312,1322,374,970,422,1118,620,357,681,isThere
1998,UKR,Ukraine,946,2341,528,574,314,1720,1374,1184,1075,isThere
1998,EGY,Egypt,,,,,,,,,,isThere
1998,USA,United States,698,809,555,832,409,1157,412,640,580,isThere
2004,ARG,Argentina,465,728,163,557,301,901,191,284,475,isThere
2004,AUS,Australia,,,,,,,,,,isThere
2004,ARM,Armenia,,,,,,,,,,isThere
2004,BRA,Brazil,,,,,,,,,,isThere
2004,CHN,China,741,858,370,,353,726,572,160,148,isThere
2004,COL,Colombia,,,,,,,,,,isThere
2004,CYP,Cyprus,,,,,,,,,,isThere
2004,EST,Estonia,218,821,165,60,107,712,446,496,285,isThere
2004,DEU,Germany,1425,456,145,272,597,1479,748,945,240,isThere
2004,GHA,Ghana,,,,,,,,,,isThere
2004,IND,India,1125,1699,732,933,562,1265,1240,928,1115,isThere
2004,JPN,Japan,1114,369,725,89,470,970,655,940,59,isThere
2004,JOR,Jordan,273,548,387,1027,66,823,237,207,566,isThere
2004,KOR,South Korea,928,859,176,254,401,776,810,509,158,isThere
2004,MEX,Mexico,650,462,760,815,374,1084,604,505,914,isThere
2004,MAR,Morocco,419,919,111,1115,84,930,445,200,718,isThere
2004,NLD,Netherlands,533,145,280,95,320,913,216,345,256,isThere
2004,NZL,New Zealand,,,,,,,,,,isThere
2004,NER,Nigeria,525,1622,471,1369,220,1195,208,463,1466,isThere
2004,PER,Peru,579,890,755,834,344,1090,352,503,916,isThere
2004,POL,Poland,242,934,133,466,141,872,417,379,354,isThere
2004,RUS,Russia,769,2257,513,215,174,1674,1280,1009,841,isThere
2004,ZAF,South Africa,1874,2258,876,1843,600,2223,1114,1257,1559,isThere
2004,ZWE,Zimbabwe,263,855,330,743,111,784,206,351,683,isThere
2004,ESP,Spain,940,1083,283,481,698,1916,772,695,1171,isThere
2004,SWE,Sweden,1395,78,664,99,820,1877,619,593,258,isThere
2004,TUR,Turkey,686,3409,1008,2156,1024,2881,1339,958,1917,isThere
2004,UKR,Ukraine,382,1062,185,217,129,784,604,554,424,isThere
2004,EGY,Egypt,2178,1153,649,2620,463,1939,241,273,1597,isThere
2004,USA,United States,733,730,467,625,361,954,273,545,384,isThere
2009,ARG,Argentina,441,579,87,257,253,716,155,236,447,isThere
2009,AUS,Australia,904,690,762,298,612,1303,499,701,551,isThere
2009,ARM,Armenia,,,,,,,,,,isThere
2009,BRA,Brazil,428,917,602,836,400,967,430,472,848,isThere
2009,CHN,China,1389,1661,614,49,504,1288,1227,477,274,isThere
2009,COL,Colombia,1013,574,1615,1443,538,2545,1459,609,1792,isThere
2009,CYP,Cyprus,875,815,847,1008,270,1388,682,847,898,isThere
2009,EST,Estonia,399,1226,233,95,172,1146,699,729,410,isThere
2009,DEU,Germany,3039,877,254,389,1431,2967,1697,2328,564,isThere
2009,GHA,Ghana,571,1214,507,1114,263,1084,300,664,1253,isThere
2009,IND,India,1338,1626,684,826,509,1116,1109,815,1118,isThere
2009,JPN,Japan,877,355,551,61,338,817,573,737,56,isThere
2009,JOR,Jordan,513,511,672,1008,214,895,303,369,778,isThere
2009,KOR,South Korea,812,869,139,258,494,682,870,539,162,isThere
2009,MEX,Mexico,637,379,742,606,384,1218,614,567,909,isThere
2009,MAR,Morocco,658,612,439,818,314,703,540,327,611,isThere
2009,NLD,Netherlands,1450,620,624,304,682,2214,893,942,874,isThere
2009,NZL,New Zealand,508,392,367,139,335,787,318,465,233,isThere
2009,NER,Nigeria,,,,,,,,,,isThere
2009,PER,Peru,412,813,897,676,192,993,169,262,808,isThere
2009,POL,Poland,965,1421,434,950,519,1875,1129,800,915,isThere
2009,RUS,Russia,1343,3001,653,434,506,2283,1763,1636,1189,isThere
2009,ZAF,South Africa,1758,2113,915,1678,467,2329,1102,984,1398,isThere
2009,ZWE,Zimbabwe,,,,,,,,,,isThere
2009,ESP,Spain,958,1060,427,310,570,2077,757,721,878,isThere
2009,SWE,Sweden,1539,226,730,130,1034,2008,972,867,347,isThere
2009,TUR,Turkey,998,2791,961,1652,811,1948,1386,1141,1413,isThere
2009,UKR,Ukraine,616,2084,409,511,454,1470,1194,976,1103,isThere
2009,EGY,Egypt,812,1738,1561,2739,321,2164,830,672,2063,isThere
2009,USA,United States,672,771,470,632,396,978,373,502,353,isThere
2014,ARG,Argentina,454,419,435,239,323,599,138,259,364,isThere
2014,AUS,Australia,960,873,727,224,587,1275,454,743,416,isThere
2014,ARM,Armenia,308,901,265,419,67,620,313,361,267,isThere
2014,BRA,Brazil,558,953,468,740,362,954,395,420,765,isThere
2014,CHN,China,1604,1732,672,26,390,1200,1165,598,172,isThere
2014,COL,Colombia,551,205,692,912,314,1306,445,368,1004,isThere
2014,CYP,Cyprus,431,408,360,374,234,697,306,410,372,isThere
2014,EST,Estonia,835,1341,652,288,565,1295,1181,1064,962,isThere
2014,DEU,Germany,1503,367,122,247,604,1365,779,1220,257,isThere
2014,GHA,Ghana,446,1327,382,1096,187,1026,378,713,1145,isThere
2014,IND,India,3665,3859,3308,3388,2821,3640,3496,3454,3666,isThere
2014,JPN,Japan,1654,858,1101,107,773,1578,1167,1656,121,isThere
2014,JOR,Jordan,523,474,438,957,177,918,335,329,674,isThere
2014,KOR,South Korea,694,772,126,299,174,490,781,654,104,isThere
2014,MEX,Mexico,770,761,869,706,477,1558,691,539,1091,isThere
2014,MAR,Morocco,516,805,304,931,287,679,285,231,351,isThere
2014,NLD,Netherlands,1154,596,436,265,381,1636,903,705,487,isThere
2014,NZL,New Zealand,450,422,308,134,305,699,281,408,203,isThere
2014,NER,Nigeria,684,1372,557,1279,265,1052,335,649,1105,isThere
2014,PER,Peru,403,200,467,509,202,817,287,284,633,isThere
2014,POL,Poland,419,173,146,382,162,798,479,187,329,isThere
2014,RUS,Russia,946,2112,565,347,413,1588,1259,1136,869,isThere
2014,ZAF,South Africa,2241,2478,981,1564,991,1854,1074,1247,1314,isThere
2014,ZWE,Zimbabwe,586,1140,443,894,200,957,376,741,1050,isThere
2014,ESP,Spain,512,792,417,126,295,881,352,446,373,isThere
2014,SWE,Sweden,848,167,366,53,564,1049,465,405,147,isThere
2014,TUR,Turkey,561,1156,445,637,453,986,633,610,545,isThere
2014,UKR,Ukraine,643,1287,298,334,196,886,677,591,635,isThere
2014,EGY,Egypt,1222,768,445,1270,94,949,343,271,641,isThere
2014,USA,United States,1197,1482,729,961,680,1603,705,797,624,isThere